"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2013","12 years","Net registrations","Number","822"
"Used  (Imported) Cars Registered","2013","13 years and over","Gross registrations","Number","2134"
"Used  (Imported) Cars Registered","2013","13 years and over","Exempt registrations","Number","249"
"Used  (Imported) Cars Registered","2013","13 years and over","Net registrations","Number","1885"
"Used  (Imported) Cars Registered","2014","All ages","Gross registrations","Number","54471"
"Used  (Imported) Cars Registered","2014","All ages","Exempt registrations","Number","2808"
"Used  (Imported) Cars Registered","2014","All ages","Net registrations","Number","51663"
"Used  (Imported) Cars Registered","2014","1 year","Gross registrations","Number","956"
"Used  (Imported) Cars Registered","2014","1 year","Exempt registrations","Number","67"
"Used  (Imported) Cars Registered","2014","1 year","Net registrations","Number","889"
"Used  (Imported) Cars Registered","2014","2 years","Gross registrations","Number","3981"
"Used  (Imported) Cars Registered","2014","2 years","Exempt registrations","Number","182"
"Used  (Imported) Cars Registered","2014","2 years","Net registrations","Number","3799"
"Used  (Imported) Cars Registered","2014","3 years","Gross registrations","Number","4471"
"Used  (Imported) Cars Registered","2014","3 years","Exempt registrations","Number","231"
"Used  (Imported) Cars Registered","2014","3 years","Net registrations","Number","4240"
"Used  (Imported) Cars Registered","2014","4 years","Gross registrations","Number","11236"
"Used  (Imported) Cars Registered","2014","4 years","Exempt registrations","Number","245"
"Used  (Imported) Cars Registered","2014","4 years","Net registrations","Number","10991"
"Used  (Imported) Cars Registered","2014","5 years","Gross registrations","Number","9971"
"Used  (Imported) Cars Registered","2014","5 years","Exempt registrations","Number","326"
"Used  (Imported) Cars Registered","2014","5 years","Net registrations","Number","9645"
"Used  (Imported) Cars Registered","2014","6 years","Gross registrations","Number","5490"
"Used  (Imported) Cars Registered","2014","6 years","Exempt registrations","Number","287"
"Used  (Imported) Cars Registered","2014","6 years","Net registrations","Number","5203"
"Used  (Imported) Cars Registered","2014","7 years","Gross registrations","Number","5926"
"Used  (Imported) Cars Registered","2014","7 years","Exempt registrations","Number","273"
"Used  (Imported) Cars Registered","2014","7 years","Net registrations","Number","5653"
"Used  (Imported) Cars Registered","2014","8 years","Gross registrations","Number","2333"
"Used  (Imported) Cars Registered","2014","8 years","Exempt registrations","Number","250"
"Used  (Imported) Cars Registered","2014","8 years","Net registrations","Number","2083"
"Used  (Imported) Cars Registered","2014","9 years","Gross registrations","Number","2269"
"Used  (Imported) Cars Registered","2014","9 years","Exempt registrations","Number","168"
"Used  (Imported) Cars Registered","2014","9 years","Net registrations","Number","2101"
"Used  (Imported) Cars Registered","2014","10 years","Gross registrations","Number","2372"
"Used  (Imported) Cars Registered","2014","10 years","Exempt registrations","Number","176"
"Used  (Imported) Cars Registered","2014","10 years","Net registrations","Number","2196"
"Used  (Imported) Cars Registered","2014","11 years","Gross registrations","Number","1608"
"Used  (Imported) Cars Registered","2014","11 years","Exempt registrations","Number","128"
"Used  (Imported) Cars Registered","2014","11 years","Net registrations","Number","1480"
"Used  (Imported) Cars Registered","2014","12 years","Gross registrations","Number","1125"
"Used  (Imported) Cars Registered","2014","12 years","Exempt registrations","Number","130"
"Used  (Imported) Cars Registered","2014","12 years","Net registrations","Number","995"
"Used  (Imported) Cars Registered","2014","13 years and over","Gross registrations","Number","2733"
"Used  (Imported) Cars Registered","2014","13 years and over","Exempt registrations","Number","345"
"Used  (Imported) Cars Registered","2014","13 years and over","Net registrations","Number","2388"
"Used  (Imported) Cars Registered","2015","All ages","Gross registrations","Number","48398"
"Used  (Imported) Cars Registered","2015","All ages","Exempt registrations","Number","2972"
"Used  (Imported) Cars Registered","2015","All ages","Net registrations","Number","45426"
"Used  (Imported) Cars Registered","2015","1 year","Gross registrations","Number","589"
"Used  (Imported) Cars Registered","2015","1 year","Exempt registrations","Number","62"
"Used  (Imported) Cars Registered","2015","1 year","Net registrations","Number","527"
"Used  (Imported) Cars Registered","2015","2 years","Gross registrations","Number","2346"
"Used  (Imported) Cars Registered","2015","2 years","Exempt registrations","Number","206"
"Used  (Imported) Cars Registered","2015","2 years","Net registrations","Number","2140"
"Used  (Imported) Cars Registered","2015","3 years","Gross registrations","Number","3002"
"Used  (Imported) Cars Registered","2015","3 years","Exempt registrations","Number","245"
"Used  (Imported) Cars Registered","2015","3 years","Net registrations","Number","2757"
"Used  (Imported) Cars Registered","2015","4 years","Gross registrations","Number","8229"
"Used  (Imported) Cars Registered","2015","4 years","Exempt registrations","Number","291"
"Used  (Imported) Cars Registered","2015","4 years","Net registrations","Number","7938"
"Used  (Imported) Cars Registered","2015","5 years","Gross registrations","Number","9716"
"Used  (Imported) Cars Registered","2015","5 years","Exempt registrations","Number","317"
"Used  (Imported) Cars Registered","2015","5 years","Net registrations","Number","9399"
"Used  (Imported) Cars Registered","2015","6 years","Gross registrations","Number","6094"
"Used  (Imported) Cars Registered","2015","6 years","Exempt registrations","Number","315"
"Used  (Imported) Cars Registered","2015","6 years","Net registrations","Number","5779"
"Used  (Imported) Cars Registered","2015","7 years","Gross registrations","Number","4355"
"Used  (Imported) Cars Registered","2015","7 years","Exempt registrations","Number","286"
"Used  (Imported) Cars Registered","2015","7 years","Net registrations","Number","4069"
"Used  (Imported) Cars Registered","2015","8 years","Gross registrations","Number","5129"
"Used  (Imported) Cars Registered","2015","8 years","Exempt registrations","Number","239"
"Used  (Imported) Cars Registered","2015","8 years","Net registrations","Number","4890"
"Used  (Imported) Cars Registered","2015","9 years","Gross registrations","Number","1857"
"Used  (Imported) Cars Registered","2015","9 years","Exempt registrations","Number","234"
"Used  (Imported) Cars Registered","2015","9 years","Net registrations","Number","1623"
"Used  (Imported) Cars Registered","2015","10 years","Gross registrations","Number","1774"
"Used  (Imported) Cars Registered","2015","10 years","Exempt registrations","Number","191"
"Used  (Imported) Cars Registered","2015","10 years","Net registrations","Number","1583"
"Used  (Imported) Cars Registered","2015","11 years","Gross registrations","Number","1413"
"Used  (Imported) Cars Registered","2015","11 years","Exempt registrations","Number","147"
"Used  (Imported) Cars Registered","2015","11 years","Net registrations","Number","1266"
"Used  (Imported) Cars Registered","2015","12 years","Gross registrations","Number","1116"
"Used  (Imported) Cars Registered","2015","12 years","Exempt registrations","Number","111"
"Used  (Imported) Cars Registered","2015","12 years","Net registrations","Number","1005"
"Used  (Imported) Cars Registered","2015","13 years and over","Gross registrations","Number","2778"
"Used  (Imported) Cars Registered","2015","13 years and over","Exempt registrations","Number","328"
"Used  (Imported) Cars Registered","2015","13 years and over","Net registrations","Number","2450"
"Used  (Imported) Cars Registered","2016","All ages","Gross registrations","Number","72718"
"Used  (Imported) Cars Registered","2016","All ages","Exempt registrations","Number","3417"
"Used  (Imported) Cars Registered","2016","All ages","Net registrations","Number","69301"
"Used  (Imported) Cars Registered","2016","1 year","Gross registrations","Number","1605"
"Used  (Imported) Cars Registered","2016","1 year","Exempt registrations","Number","63"
"Used  (Imported) Cars Registered","2016","1 year","Net registrations","Number","1542"
"Used  (Imported) Cars Registered","2016","2 years","Gross registrations","Number","3875"
"Used  (Imported) Cars Registered","2016","2 years","Exempt registrations","Number","216"
"Used  (Imported) Cars Registered","2016","2 years","Net registrations","Number","3659"
"Used  (Imported) Cars Registered","2016","3 years","Gross registrations","Number","5713"
"Used  (Imported) Cars Registered","2016","3 years","Exempt registrations","Number","278"
"Used  (Imported) Cars Registered","2016","3 years","Net registrations","Number","5435"
"Used  (Imported) Cars Registered","2016","4 years","Gross registrations","Number","12882"
"Used  (Imported) Cars Registered","2016","4 years","Exempt registrations","Number","340"
"Used  (Imported) Cars Registered","2016","4 years","Net registrations","Number","12542"
"Used  (Imported) Cars Registered","2016","5 years","Gross registrations","Number","12657"
"Used  (Imported) Cars Registered","2016","5 years","Exempt registrations","Number","353"
"Used  (Imported) Cars Registered","2016","5 years","Net registrations","Number","12304"
"Used  (Imported) Cars Registered","2016","6 years","Gross registrations","Number","9065"
"Used  (Imported) Cars Registered","2016","6 years","Exempt registrations","Number","390"
"Used  (Imported) Cars Registered","2016","6 years","Net registrations","Number","8675"
"Used  (Imported) Cars Registered","2016","7 years","Gross registrations","Number","7248"
"Used  (Imported) Cars Registered","2016","7 years","Exempt registrations","Number","334"
"Used  (Imported) Cars Registered","2016","7 years","Net registrations","Number","6914"
"Used  (Imported) Cars Registered","2016","8 years","Gross registrations","Number","6108"
"Used  (Imported) Cars Registered","2016","8 years","Exempt registrations","Number","272"
"Used  (Imported) Cars Registered","2016","8 years","Net registrations","Number","5836"
"Used  (Imported) Cars Registered","2016","9 years","Gross registrations","Number","5698"
"Used  (Imported) Cars Registered","2016","9 years","Exempt registrations","Number","272"
"Used  (Imported) Cars Registered","2016","9 years","Net registrations","Number","5426"
"Used  (Imported) Cars Registered","2016","10 years","Gross registrations","Number","2055"
"Used  (Imported) Cars Registered","2016","10 years","Exempt registrations","Number","217"
"Used  (Imported) Cars Registered","2016","10 years","Net registrations","Number","1838"
"Used  (Imported) Cars Registered","2016","11 years","Gross registrations","Number","1467"
"Used  (Imported) Cars Registered","2016","11 years","Exempt registrations","Number","170"
"Used  (Imported) Cars Registered","2016","11 years","Net registrations","Number","1297"
"Used  (Imported) Cars Registered","2016","12 years","Gross registrations","Number","1231"
"Used  (Imported) Cars Registered","2016","12 years","Exempt registrations","Number","147"
"Used  (Imported) Cars Registered","2016","12 years","Net registrations","Number","1084"
"Used  (Imported) Cars Registered","2016","13 years and over","Gross registrations","Number","3114"
"Used  (Imported) Cars Registered","2016","13 years and over","Exempt registrations","Number","365"
"Used  (Imported) Cars Registered","2016","13 years and over","Net registrations","Number","2749"
"Used  (Imported) Cars Registered","2017","All ages","Gross registrations","Number","94456"
"Used  (Imported) Cars Registered","2017","All ages","Exempt registrations","Number","3423"
"Used  (Imported) Cars Registered","2017","All ages","Net registrations","Number","91033"
"Used  (Imported) Cars Registered","2017","1 year","Gross registrations","Number","1907"
"Used  (Imported) Cars Registered","2017","1 year","Exempt registrations","Number","78"
"Used  (Imported) Cars Registered","2017","1 year","Net registrations","Number","1829"
"Used  (Imported) Cars Registered","2017","2 years","Gross registrations","Number","6638"
"Used  (Imported) Cars Registered","2017","2 years","Exempt registrations","Number","252"
"Used  (Imported) Cars Registered","2017","2 years","Net registrations","Number","6386"
"Used  (Imported) Cars Registered","2017","3 years","Gross registrations","Number","9164"
"Used  (Imported) Cars Registered","2017","3 years","Exempt registrations","Number","306"
"Used  (Imported) Cars Registered","2017","3 years","Net registrations","Number","8858"
"Used  (Imported) Cars Registered","2017","4 years","Gross registrations","Number","19176"
"Used  (Imported) Cars Registered","2017","4 years","Exempt registrations","Number","347"
"Used  (Imported) Cars Registered","2017","4 years","Net registrations","Number","18829"
"Used  (Imported) Cars Registered","2017","5 years","Gross registrations","Number","15699"
"Used  (Imported) Cars Registered","2017","5 years","Exempt registrations","Number","424"
"Used  (Imported) Cars Registered","2017","5 years","Net registrations","Number","15275"
"Used  (Imported) Cars Registered","2017","6 years","Gross registrations","Number","11515"
"Used  (Imported) Cars Registered","2017","6 years","Exempt registrations","Number","340"
"Used  (Imported) Cars Registered","2017","6 years","Net registrations","Number","11175"
"Used  (Imported) Cars Registered","2017","7 years","Gross registrations","Number","8636"
"Used  (Imported) Cars Registered","2017","7 years","Exempt registrations","Number","328"
"Used  (Imported) Cars Registered","2017","7 years","Net registrations","Number","8308"
"Used  (Imported) Cars Registered","2017","8 years","Gross registrations","Number","7352"
"Used  (Imported) Cars Registered","2017","8 years","Exempt registrations","Number","266"
"Used  (Imported) Cars Registered","2017","8 years","Net registrations","Number","7086"
"Used  (Imported) Cars Registered","2017","9 years","Gross registrations","Number","5171"
"Used  (Imported) Cars Registered","2017","9 years","Exempt registrations","Number","230"
"Used  (Imported) Cars Registered","2017","9 years","Net registrations","Number","4941"
"Used  (Imported) Cars Registered","2017","10 years","Gross registrations","Number","3976"
"Used  (Imported) Cars Registered","2017","10 years","Exempt registrations","Number","187"
"Used  (Imported) Cars Registered","2017","10 years","Net registrations","Number","3789"
"Used  (Imported) Cars Registered","2017","11 years","Gross registrations","Number","1274"
"Used  (Imported) Cars Registered","2017","11 years","Exempt registrations","Number","180"
"Used  (Imported) Cars Registered","2017","11 years","Net registrations","Number","1094"
"Used  (Imported) Cars Registered","2017","12 years","Gross registrations","Number","905"
"Used  (Imported) Cars Registered","2017","12 years","Exempt registrations","Number","126"
"Used  (Imported) Cars Registered","2017","12 years","Net registrations","Number","779"
"Used  (Imported) Cars Registered","2017","13 years and over","Gross registrations","Number","3043"
"Used  (Imported) Cars Registered","2017","13 years and over","Exempt registrations","Number","359"
"Used  (Imported) Cars Registered","2017","13 years and over","Net registrations","Number","2684"
"Used  (Imported) Cars Registered","2018","All ages","Gross registrations","Number","101879"
"Used  (Imported) Cars Registered","2018","All ages","Exempt registrations","Number","3464"
"Used  (Imported) Cars Registered","2018","All ages","Net registrations","Number","98415"
"Used  (Imported) Cars Registered","2018","1 year","Gross registrations","Number","2113"
"Used  (Imported) Cars Registered","2018","1 year","Exempt registrations","Number","81"
"Used  (Imported) Cars Registered","2018","1 year","Net registrations","Number","2032"
"Used  (Imported) Cars Registered","2018","2 years","Gross registrations","Number","8143"
"Used  (Imported) Cars Registered","2018","2 years","Exempt registrations","Number","273"
"Used  (Imported) Cars Registered","2018","2 years","Net registrations","Number","7870"
"Used  (Imported) Cars Registered","2018","3 years","Gross registrations","Number","10509"
"Used  (Imported) Cars Registered","2018","3 years","Exempt registrations","Number","347"
"Used  (Imported) Cars Registered","2018","3 years","Net registrations","Number","10162"
"Used  (Imported) Cars Registered","2018","4 years","Gross registrations","Number","20312"
"Used  (Imported) Cars Registered","2018","4 years","Exempt registrations","Number","377"
"Used  (Imported) Cars Registered","2018","4 years","Net registrations","Number","19935"
"Used  (Imported) Cars Registered","2018","5 years","Gross registrations","Number","18728"
"Used  (Imported) Cars Registered","2018","5 years","Exempt registrations","Number","426"
"Used  (Imported) Cars Registered","2018","5 years","Net registrations","Number","18302"
"Used  (Imported) Cars Registered","2018","6 years","Gross registrations","Number","12466"
"Used  (Imported) Cars Registered","2018","6 years","Exempt registrations","Number","396"
"Used  (Imported) Cars Registered","2018","6 years","Net registrations","Number","12070"
"Used  (Imported) Cars Registered","2018","7 years","Gross registrations","Number","9006"
"Used  (Imported) Cars Registered","2018","7 years","Exempt registrations","Number","316"
"Used  (Imported) Cars Registered","2018","7 years","Net registrations","Number","8690"
"Used  (Imported) Cars Registered","2018","8 years","Gross registrations","Number","6657"
"Used  (Imported) Cars Registered","2018","8 years","Exempt registrations","Number","258"
"Used  (Imported) Cars Registered","2018","8 years","Net registrations","Number","6399"
"Used  (Imported) Cars Registered","2018","9 years","Gross registrations","Number","5113"
"Used  (Imported) Cars Registered","2018","9 years","Exempt registrations","Number","204"
"Used  (Imported) Cars Registered","2018","9 years","Net registrations","Number","4909"
"Used  (Imported) Cars Registered","2018","10 years","Gross registrations","Number","3355"
"Used  (Imported) Cars Registered","2018","10 years","Exempt registrations","Number","179"
"Used  (Imported) Cars Registered","2018","10 years","Net registrations","Number","3176"
"Used  (Imported) Cars Registered","2018","11 years","Gross registrations","Number","1833"
"Used  (Imported) Cars Registered","2018","11 years","Exempt registrations","Number","165"
"Used  (Imported) Cars Registered","2018","11 years","Net registrations","Number","1668"
"Used  (Imported) Cars Registered","2018","12 years","Gross registrations","Number","730"
"Used  (Imported) Cars Registered","2018","12 years","Exempt registrations","Number","107"
"Used  (Imported) Cars Registered","2018","12 years","Net registrations","Number","623"
"Used  (Imported) Cars Registered","2018","13 years and over","Gross registrations","Number","2914"
"Used  (Imported) Cars Registered","2018","13 years and over","Exempt registrations","Number","335"
"Used  (Imported) Cars Registered","2018","13 years and over","Net registrations","Number","2579"
"Used  (Imported) Cars Registered","2019","All ages","Gross registrations","Number","115831"
"Used  (Imported) Cars Registered","2019","All ages","Exempt registrations","Number","3684"
"Used  (Imported) Cars Registered","2019","All ages","Net registrations","Number","112147"
"Used  (Imported) Cars Registered","2019","1 year","Gross registrations","Number","2051"
"Used  (Imported) Cars Registered","2019","1 year","Exempt registrations","Number","88"
"Used  (Imported) Cars Registered","2019","1 year","Net registrations","Number","1963"
"Used  (Imported) Cars Registered","2019","2 years","Gross registrations","Number","8983"
"Used  (Imported) Cars Registered","2019","2 years","Exempt registrations","Number","265"
"Used  (Imported) Cars Registered","2019","2 years","Net registrations","Number","8718"
"Used  (Imported) Cars Registered","2019","3 years","Gross registrations","Number","10848"
"Used  (Imported) Cars Registered","2019","3 years","Exempt registrations","Number","333"
"Used  (Imported) Cars Registered","2019","3 years","Net registrations","Number","10515"
"Used  (Imported) Cars Registered","2019","4 years","Gross registrations","Number","21650"
"Used  (Imported) Cars Registered","2019","4 years","Exempt registrations","Number","366"
"Used  (Imported) Cars Registered","2019","4 years","Net registrations","Number","21284"
"Used  (Imported) Cars Registered","2019","5 years","Gross registrations","Number","20999"
"Used  (Imported) Cars Registered","2019","5 years","Exempt registrations","Number","511"
"Used  (Imported) Cars Registered","2019","5 years","Net registrations","Number","20488"
"Used  (Imported) Cars Registered","2019","6 years","Gross registrations","Number","15138"
"Used  (Imported) Cars Registered","2019","6 years","Exempt registrations","Number","425"
"Used  (Imported) Cars Registered","2019","6 years","Net registrations","Number","14713"
"Used  (Imported) Cars Registered","2019","7 years","Gross registrations","Number","11017"
"Used  (Imported) Cars Registered","2019","7 years","Exempt registrations","Number","334"
"Used  (Imported) Cars Registered","2019","7 years","Net registrations","Number","10683"
"Used  (Imported) Cars Registered","2019","8 years","Gross registrations","Number","8300"
"Used  (Imported) Cars Registered","2019","8 years","Exempt registrations","Number","248"
"Used  (Imported) Cars Registered","2019","8 years","Net registrations","Number","8052"
"Used  (Imported) Cars Registered","2019","9 years","Gross registrations","Number","5713"
"Used  (Imported) Cars Registered","2019","9 years","Exempt registrations","Number","227"
"Used  (Imported) Cars Registered","2019","9 years","Net registrations","Number","5486"
"Used  (Imported) Cars Registered","2019","10 years","Gross registrations","Number","4233"
"Used  (Imported) Cars Registered","2019","10 years","Exempt registrations","Number","191"
"Used  (Imported) Cars Registered","2019","10 years","Net registrations","Number","4042"
"Used  (Imported) Cars Registered","2019","11 years","Gross registrations","Number","1926"
"Used  (Imported) Cars Registered","2019","11 years","Exempt registrations","Number","164"
"Used  (Imported) Cars Registered","2019","11 years","Net registrations","Number","1762"
"Used  (Imported) Cars Registered","2019","12 years","Gross registrations","Number","1182"
"Used  (Imported) Cars Registered","2019","12 years","Exempt registrations","Number","131"
"Used  (Imported) Cars Registered","2019","12 years","Net registrations","Number","1051"
"Used  (Imported) Cars Registered","2019","13 years and over","Gross registrations","Number","3791"
"Used  (Imported) Cars Registered","2019","13 years and over","Exempt registrations","Number","401"
"Used  (Imported) Cars Registered","2019","13 years and over","Net registrations","Number","3390"
