"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2006","11 years","Gross registrations","Number","3125"
"Used  (Imported) Cars Registered","2006","11 years","Exempt registrations","Number","246"
"Used  (Imported) Cars Registered","2006","11 years","Net registrations","Number","2879"
"Used  (Imported) Cars Registered","2006","12 years","Gross registrations","Number","2132"
"Used  (Imported) Cars Registered","2006","12 years","Exempt registrations","Number","187"
"Used  (Imported) Cars Registered","2006","12 years","Net registrations","Number","1945"
"Used  (Imported) Cars Registered","2006","13 years and over","Gross registrations","Number","5305"
"Used  (Imported) Cars Registered","2006","13 years and over","Exempt registrations","Number","503"
"Used  (Imported) Cars Registered","2006","13 years and over","Net registrations","Number","4802"
"Used  (Imported) Cars Registered","2007","All ages","Gross registrations","Number","59539"
"Used  (Imported) Cars Registered","2007","All ages","Exempt registrations","Number","6383"
"Used  (Imported) Cars Registered","2007","All ages","Net registrations","Number","53156"
"Used  (Imported) Cars Registered","2007","1 year","Gross registrations","Number","527"
"Used  (Imported) Cars Registered","2007","1 year","Exempt registrations","Number","92"
"Used  (Imported) Cars Registered","2007","1 year","Net registrations","Number","435"
"Used  (Imported) Cars Registered","2007","2 years","Gross registrations","Number","2775"
"Used  (Imported) Cars Registered","2007","2 years","Exempt registrations","Number","586"
"Used  (Imported) Cars Registered","2007","2 years","Net registrations","Number","2189"
"Used  (Imported) Cars Registered","2007","3 years","Gross registrations","Number","3769"
"Used  (Imported) Cars Registered","2007","3 years","Exempt registrations","Number","671"
"Used  (Imported) Cars Registered","2007","3 years","Net registrations","Number","3098"
"Used  (Imported) Cars Registered","2007","4 years","Gross registrations","Number","7496"
"Used  (Imported) Cars Registered","2007","4 years","Exempt registrations","Number","708"
"Used  (Imported) Cars Registered","2007","4 years","Net registrations","Number","6788"
"Used  (Imported) Cars Registered","2007","5 years","Gross registrations","Number","7361"
"Used  (Imported) Cars Registered","2007","5 years","Exempt registrations","Number","750"
"Used  (Imported) Cars Registered","2007","5 years","Net registrations","Number","6611"
"Used  (Imported) Cars Registered","2007","6 years","Gross registrations","Number","6034"
"Used  (Imported) Cars Registered","2007","6 years","Exempt registrations","Number","714"
"Used  (Imported) Cars Registered","2007","6 years","Net registrations","Number","5320"
"Used  (Imported) Cars Registered","2007","7 years","Gross registrations","Number","5195"
"Used  (Imported) Cars Registered","2007","7 years","Exempt registrations","Number","614"
"Used  (Imported) Cars Registered","2007","7 years","Net registrations","Number","4581"
"Used  (Imported) Cars Registered","2007","8 years","Gross registrations","Number","5116"
"Used  (Imported) Cars Registered","2007","8 years","Exempt registrations","Number","477"
"Used  (Imported) Cars Registered","2007","8 years","Net registrations","Number","4639"
"Used  (Imported) Cars Registered","2007","9 years","Gross registrations","Number","4659"
"Used  (Imported) Cars Registered","2007","9 years","Exempt registrations","Number","418"
"Used  (Imported) Cars Registered","2007","9 years","Net registrations","Number","4241"
"Used  (Imported) Cars Registered","2007","10 years","Gross registrations","Number","4772"
"Used  (Imported) Cars Registered","2007","10 years","Exempt registrations","Number","333"
"Used  (Imported) Cars Registered","2007","10 years","Net registrations","Number","4439"
"Used  (Imported) Cars Registered","2007","11 years","Gross registrations","Number","3314"
"Used  (Imported) Cars Registered","2007","11 years","Exempt registrations","Number","272"
"Used  (Imported) Cars Registered","2007","11 years","Net registrations","Number","3042"
"Used  (Imported) Cars Registered","2007","12 years","Gross registrations","Number","2467"
"Used  (Imported) Cars Registered","2007","12 years","Exempt registrations","Number","212"
"Used  (Imported) Cars Registered","2007","12 years","Net registrations","Number","2255"
"Used  (Imported) Cars Registered","2007","13 years and over","Gross registrations","Number","6054"
"Used  (Imported) Cars Registered","2007","13 years and over","Exempt registrations","Number","536"
"Used  (Imported) Cars Registered","2007","13 years and over","Net registrations","Number","5518"
"Used  (Imported) Cars Registered","2008","All ages","Gross registrations","Number","61651"
"Used  (Imported) Cars Registered","2008","All ages","Exempt registrations","Number","5832"
"Used  (Imported) Cars Registered","2008","All ages","Net registrations","Number","55819"
"Used  (Imported) Cars Registered","2008","1 year","Gross registrations","Number","1853"
"Used  (Imported) Cars Registered","2008","1 year","Exempt registrations","Number","110"
"Used  (Imported) Cars Registered","2008","1 year","Net registrations","Number","1743"
"Used  (Imported) Cars Registered","2008","2 years","Gross registrations","Number","4222"
"Used  (Imported) Cars Registered","2008","2 years","Exempt registrations","Number","578"
"Used  (Imported) Cars Registered","2008","2 years","Net registrations","Number","3644"
"Used  (Imported) Cars Registered","2008","3 years","Gross registrations","Number","4611"
"Used  (Imported) Cars Registered","2008","3 years","Exempt registrations","Number","637"
"Used  (Imported) Cars Registered","2008","3 years","Net registrations","Number","3974"
"Used  (Imported) Cars Registered","2008","4 years","Gross registrations","Number","9331"
