"Statistic","Year","Value","Type of Registration","UNIT","VALUE"
"Value Profile of New Cars Registered","2010","80,001 - 90,000","Gross registrations","Number","99"
"Value Profile of New Cars Registered","2010","80,001 - 90,000","Exempt registrations","Number","9"
"Value Profile of New Cars Registered","2010","80,001 - 90,000","Net registrations","Number","90"
"Value Profile of New Cars Registered","2010","90,001 - 100,000","Gross registrations","Number","80"
"Value Profile of New Cars Registered","2010","90,001 - 100,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2010","90,001 - 100,000","Net registrations","Number","80"
"Value Profile of New Cars Registered","2010","100,001 - 150,000","Gross registrations","Number","80"
"Value Profile of New Cars Registered","2010","100,001 - 150,000","Exempt registrations","Number","8"
"Value Profile of New Cars Registered","2010","100,001 - 150,000","Net registrations","Number","72"
"Value Profile of New Cars Registered","2010","150,001 - 200,000","Gross registrations","Number","4"
"Value Profile of New Cars Registered","2010","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2010","150,001 - 200,000","Net registrations","Number","4"
"Value Profile of New Cars Registered","2010","200,001 - 250,000","Gross registrations","Number","3"
"Value Profile of New Cars Registered","2010","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2010","200,001 - 250,000","Net registrations","Number","3"
"Value Profile of New Cars Registered","2010","Over 250,000","Gross registrations","Number","1"
"Value Profile of New Cars Registered","2010","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2010","Over 250,000","Net registrations","Number","1"
"Value Profile of New Cars Registered","2010","All values","Gross registrations","Number","89212"
"Value Profile of New Cars Registered","2010","All values","Exempt registrations","Number","3948"
"Value Profile of New Cars Registered","2010","All values","Net registrations","Number","85264"
"Value Profile of New Cars Registered","2011","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2011","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2011","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2011","7,001 - 8,000","Gross registrations","Number","1"
"Value Profile of New Cars Registered","2011","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2011","7,001 - 8,000","Net registrations","Number","1"
"Value Profile of New Cars Registered","2011","8,001 - 13,000","Gross registrations","Number","4872"
"Value Profile of New Cars Registered","2011","8,001 - 13,000","Exempt registrations","Number","53"
"Value Profile of New Cars Registered","2011","8,001 - 13,000","Net registrations","Number","4819"
"Value Profile of New Cars Registered","2011","13,001 - 14,000","Gross registrations","Number","4066"
"Value Profile of New Cars Registered","2011","13,001 - 14,000","Exempt registrations","Number","50"
"Value Profile of New Cars Registered","2011","13,001 - 14,000","Net registrations","Number","4016"
"Value Profile of New Cars Registered","2011","14,001 - 15,000","Gross registrations","Number","6275"
"Value Profile of New Cars Registered","2011","14,001 - 15,000","Exempt registrations","Number","52"
"Value Profile of New Cars Registered","2011","14,001 - 15,000","Net registrations","Number","6223"
"Value Profile of New Cars Registered","2011","15,001 - 20,000","Gross registrations","Number","21177"
"Value Profile of New Cars Registered","2011","15,001 - 20,000","Exempt registrations","Number","670"
"Value Profile of New Cars Registered","2011","15,001 - 20,000","Net registrations","Number","20507"
"Value Profile of New Cars Registered","2011","20,001 - 25,000","Gross registrations","Number","27609"
"Value Profile of New Cars Registered","2011","20,001 - 25,000","Exempt registrations","Number","1079"
"Value Profile of New Cars Registered","2011","20,001 - 25,000","Net registrations","Number","26530"
"Value Profile of New Cars Registered","2011","25,001 - 30,000","Gross registrations","Number","12986"
"Value Profile of New Cars Registered","2011","25,001 - 30,000","Exempt registrations","Number","698"
"Value Profile of New Cars Registered","2011","25,001 - 30,000","Net registrations","Number","12288"
"Value Profile of New Cars Registered","2011","30,001 - 40,000","Gross registrations","Number","7482"
"Value Profile of New Cars Registered","2011","30,001 - 40,000","Exempt registrations","Number","549"
"Value Profile of New Cars Registered","2011","30,001 - 40,000","Net registrations","Number","6933"
"Value Profile of New Cars Registered","2011","40,001 - 50,000","Gross registrations","Number","4299"
"Value Profile of New Cars Registered","2011","40,001 - 50,000","Exempt registrations","Number","198"
"Value Profile of New Cars Registered","2011","40,001 - 50,000","Net registrations","Number","4101"
"Value Profile of New Cars Registered","2011","50,001 - 60,000","Gross registrations","Number","876"
"Value Profile of New Cars Registered","2011","50,001 - 60,000","Exempt registrations","Number","21"
"Value Profile of New Cars Registered","2011","50,001 - 60,000","Net registrations","Number","855"
"Value Profile of New Cars Registered","2011","60,001 - 70,000","Gross registrations","Number","359"
"Value Profile of New Cars Registered","2011","60,001 - 70,000","Exempt registrations","Number","12"
"Value Profile of New Cars Registered","2011","60,001 - 70,000","Net registrations","Number","347"
"Value Profile of New Cars Registered","2011","70,001 - 80,000","Gross registrations","Number","211"
"Value Profile of New Cars Registered","2011","70,001 - 80,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2011","70,001 - 80,000","Net registrations","Number","208"
"Value Profile of New Cars Registered","2011","80,001 - 90,000","Gross registrations","Number","101"
"Value Profile of New Cars Registered","2011","80,001 - 90,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2011","80,001 - 90,000","Net registrations","Number","99"
"Value Profile of New Cars Registered","2011","90,001 - 100,000","Gross registrations","Number","64"
"Value Profile of New Cars Registered","2011","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2011","90,001 - 100,000","Net registrations","Number","63"
"Value Profile of New Cars Registered","2011","100,001 - 150,000","Gross registrations","Number","90"
"Value Profile of New Cars Registered","2011","100,001 - 150,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2011","100,001 - 150,000","Net registrations","Number","88"
"Value Profile of New Cars Registered","2011","150,001 - 200,000","Gross registrations","Number","7"
"Value Profile of New Cars Registered","2011","150,001 - 200,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2011","150,001 - 200,000","Net registrations","Number","6"
"Value Profile of New Cars Registered","2011","200,001 - 250,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2011","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2011","200,001 - 250,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2011","Over 250,000","Gross registrations","Number","2"
"Value Profile of New Cars Registered","2011","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2011","Over 250,000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2011","All values","Gross registrations","Number","90477"
"Value Profile of New Cars Registered","2011","All values","Exempt registrations","Number","3391"
"Value Profile of New Cars Registered","2011","All values","Net registrations","Number","87086"
"Value Profile of New Cars Registered","2012","0 - 7000","Gross registrations","Number","2"
"Value Profile of New Cars Registered","2012","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","0 - 7000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2012","7,001 - 8,000","Gross registrations","Number","175"
"Value Profile of New Cars Registered","2012","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","7,001 - 8,000","Net registrations","Number","175"
"Value Profile of New Cars Registered","2012","8,001 - 13,000","Gross registrations","Number","3340"
"Value Profile of New Cars Registered","2012","8,001 - 13,000","Exempt registrations","Number","32"
"Value Profile of New Cars Registered","2012","8,001 - 13,000","Net registrations","Number","3308"
"Value Profile of New Cars Registered","2012","13,001 - 14,000","Gross registrations","Number","2456"
"Value Profile of New Cars Registered","2012","13,001 - 14,000","Exempt registrations","Number","42"
"Value Profile of New Cars Registered","2012","13,001 - 14,000","Net registrations","Number","2414"
"Value Profile of New Cars Registered","2012","14,001 - 15,000","Gross registrations","Number","3765"
"Value Profile of New Cars Registered","2012","14,001 - 15,000","Exempt registrations","Number","70"
"Value Profile of New Cars Registered","2012","14,001 - 15,000","Net registrations","Number","3695"
"Value Profile of New Cars Registered","2012","15,001 - 20,000","Gross registrations","Number","17183"
"Value Profile of New Cars Registered","2012","15,001 - 20,000","Exempt registrations","Number","628"
"Value Profile of New Cars Registered","2012","15,001 - 20,000","Net registrations","Number","16555"
"Value Profile of New Cars Registered","2012","20,001 - 25,000","Gross registrations","Number","25116"
"Value Profile of New Cars Registered","2012","20,001 - 25,000","Exempt registrations","Number","1061"
"Value Profile of New Cars Registered","2012","20,001 - 25,000","Net registrations","Number","24055"
"Value Profile of New Cars Registered","2012","25,001 - 30,000","Gross registrations","Number","13986"
"Value Profile of New Cars Registered","2012","25,001 - 30,000","Exempt registrations","Number","932"
"Value Profile of New Cars Registered","2012","25,001 - 30,000","Net registrations","Number","13054"
"Value Profile of New Cars Registered","2012","30,001 - 40,000","Gross registrations","Number","7467"
"Value Profile of New Cars Registered","2012","30,001 - 40,000","Exempt registrations","Number","603"
"Value Profile of New Cars Registered","2012","30,001 - 40,000","Net registrations","Number","6864"
"Value Profile of New Cars Registered","2012","40,001 - 50,000","Gross registrations","Number","4676"
"Value Profile of New Cars Registered","2012","40,001 - 50,000","Exempt registrations","Number","234"
"Value Profile of New Cars Registered","2012","40,001 - 50,000","Net registrations","Number","4442"
"Value Profile of New Cars Registered","2012","50,001 - 60,000","Gross registrations","Number","847"
"Value Profile of New Cars Registered","2012","50,001 - 60,000","Exempt registrations","Number","24"
"Value Profile of New Cars Registered","2012","50,001 - 60,000","Net registrations","Number","823"
"Value Profile of New Cars Registered","2012","60,001 - 70,000","Gross registrations","Number","328"
"Value Profile of New Cars Registered","2012","60,001 - 70,000","Exempt registrations","Number","8"
"Value Profile of New Cars Registered","2012","60,001 - 70,000","Net registrations","Number","320"
"Value Profile of New Cars Registered","2012","70,001 - 80,000","Gross registrations","Number","292"
"Value Profile of New Cars Registered","2012","70,001 - 80,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2012","70,001 - 80,000","Net registrations","Number","290"
"Value Profile of New Cars Registered","2012","80,001 - 90,000","Gross registrations","Number","69"
"Value Profile of New Cars Registered","2012","80,001 - 90,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2012","80,001 - 90,000","Net registrations","Number","68"
"Value Profile of New Cars Registered","2012","90,001 - 100,000","Gross registrations","Number","80"
"Value Profile of New Cars Registered","2012","90,001 - 100,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","90,001 - 100,000","Net registrations","Number","80"
"Value Profile of New Cars Registered","2012","100,001 - 150,000","Gross registrations","Number","86"
"Value Profile of New Cars Registered","2012","100,001 - 150,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","100,001 - 150,000","Net registrations","Number","86"
"Value Profile of New Cars Registered","2012","150,001 - 200,000","Gross registrations","Number","4"
"Value Profile of New Cars Registered","2012","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","150,001 - 200,000","Net registrations","Number","4"
"Value Profile of New Cars Registered","2012","200,001 - 250,000","Gross registrations","Number","2"
"Value Profile of New Cars Registered","2012","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","200,001 - 250,000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2012","Over 250,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2012","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2012","Over 250,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2012","All values","Gross registrations","Number","79874"
"Value Profile of New Cars Registered","2012","All values","Exempt registrations","Number","3637"
"Value Profile of New Cars Registered","2012","All values","Net registrations","Number","76237"
"Value Profile of New Cars Registered","2013","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2013","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2013","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2013","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2013","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2013","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2013","8,001 - 13,000","Gross registrations","Number","3043"
"Value Profile of New Cars Registered","2013","8,001 - 13,000","Exempt registrations","Number","30"
"Value Profile of New Cars Registered","2013","8,001 - 13,000","Net registrations","Number","3013"
"Value Profile of New Cars Registered","2013","13,001 - 14,000","Gross registrations","Number","2696"
"Value Profile of New Cars Registered","2013","13,001 - 14,000","Exempt registrations","Number","34"
"Value Profile of New Cars Registered","2013","13,001 - 14,000","Net registrations","Number","2662"
"Value Profile of New Cars Registered","2013","14,001 - 15,000","Gross registrations","Number","3104"
"Value Profile of New Cars Registered","2013","14,001 - 15,000","Exempt registrations","Number","64"
"Value Profile of New Cars Registered","2013","14,001 - 15,000","Net registrations","Number","3040"
"Value Profile of New Cars Registered","2013","15,001 - 20,000","Gross registrations","Number","15046"
"Value Profile of New Cars Registered","2013","15,001 - 20,000","Exempt registrations","Number","467"
"Value Profile of New Cars Registered","2013","15,001 - 20,000","Net registrations","Number","14579"
"Value Profile of New Cars Registered","2013","20,001 - 25,000","Gross registrations","Number","21907"
"Value Profile of New Cars Registered","2013","20,001 - 25,000","Exempt registrations","Number","981"
"Value Profile of New Cars Registered","2013","20,001 - 25,000","Net registrations","Number","20926"
"Value Profile of New Cars Registered","2013","25,001 - 30,000","Gross registrations","Number","15140"
"Value Profile of New Cars Registered","2013","25,001 - 30,000","Exempt registrations","Number","921"
"Value Profile of New Cars Registered","2013","25,001 - 30,000","Net registrations","Number","14219"
"Value Profile of New Cars Registered","2013","30,001 - 40,000","Gross registrations","Number","7631"
"Value Profile of New Cars Registered","2013","30,001 - 40,000","Exempt registrations","Number","569"
"Value Profile of New Cars Registered","2013","30,001 - 40,000","Net registrations","Number","7062"
"Value Profile of New Cars Registered","2013","40,001 - 50,000","Gross registrations","Number","4376"
"Value Profile of New Cars Registered","2013","40,001 - 50,000","Exempt registrations","Number","251"
"Value Profile of New Cars Registered","2013","40,001 - 50,000","Net registrations","Number","4125"
"Value Profile of New Cars Registered","2013","50,001 - 60,000","Gross registrations","Number","1046"
"Value Profile of New Cars Registered","2013","50,001 - 60,000","Exempt registrations","Number","43"
"Value Profile of New Cars Registered","2013","50,001 - 60,000","Net registrations","Number","1003"
"Value Profile of New Cars Registered","2013","60,001 - 70,000","Gross registrations","Number","248"
"Value Profile of New Cars Registered","2013","60,001 - 70,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2013","60,001 - 70,000","Net registrations","Number","244"
"Value Profile of New Cars Registered","2013","70,001 - 80,000","Gross registrations","Number","197"
"Value Profile of New Cars Registered","2013","70,001 - 80,000","Exempt registrations","Number","3"
"Value Profile of New Cars Registered","2013","70,001 - 80,000","Net registrations","Number","194"
"Value Profile of New Cars Registered","2013","80,001 - 90,000","Gross registrations","Number","67"
"Value Profile of New Cars Registered","2013","80,001 - 90,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2013","80,001 - 90,000","Net registrations","Number","65"
"Value Profile of New Cars Registered","2013","90,001 - 100,000","Gross registrations","Number","65"
"Value Profile of New Cars Registered","2013","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2013","90,001 - 100,000","Net registrations","Number","64"
"Value Profile of New Cars Registered","2013","100,001 - 150,000","Gross registrations","Number","118"
"Value Profile of New Cars Registered","2013","100,001 - 150,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2013","100,001 - 150,000","Net registrations","Number","116"
"Value Profile of New Cars Registered","2013","150,001 - 200,000","Gross registrations","Number","5"
"Value Profile of New Cars Registered","2013","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2013","150,001 - 200,000","Net registrations","Number","5"
"Value Profile of New Cars Registered","2013","200,001 - 250,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2013","200,001 - 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2013","200,001 - 250,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2013","Over 250,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2013","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2013","Over 250,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2013","All values","Gross registrations","Number","74689"
"Value Profile of New Cars Registered","2013","All values","Exempt registrations","Number","3372"
"Value Profile of New Cars Registered","2013","All values","Net registrations","Number","71317"
"Value Profile of New Cars Registered","2014","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2014","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2014","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2014","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2014","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2014","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2014","8,001 - 13,000","Gross registrations","Number","3376"
"Value Profile of New Cars Registered","2014","8,001 - 13,000","Exempt registrations","Number","20"
"Value Profile of New Cars Registered","2014","8,001 - 13,000","Net registrations","Number","3356"
"Value Profile of New Cars Registered","2014","13,001 - 14,000","Gross registrations","Number","2887"
"Value Profile of New Cars Registered","2014","13,001 - 14,000","Exempt registrations","Number","31"
"Value Profile of New Cars Registered","2014","13,001 - 14,000","Net registrations","Number","2856"
"Value Profile of New Cars Registered","2014","14,001 - 15,000","Gross registrations","Number","3837"
"Value Profile of New Cars Registered","2014","14,001 - 15,000","Exempt registrations","Number","69"
"Value Profile of New Cars Registered","2014","14,001 - 15,000","Net registrations","Number","3768"
"Value Profile of New Cars Registered","2014","15,001 - 20,000","Gross registrations","Number","18173"
"Value Profile of New Cars Registered","2014","15,001 - 20,000","Exempt registrations","Number","557"
"Value Profile of New Cars Registered","2014","15,001 - 20,000","Net registrations","Number","17616"
"Value Profile of New Cars Registered","2014","20,001 - 25,000","Gross registrations","Number","29094"
"Value Profile of New Cars Registered","2014","20,001 - 25,000","Exempt registrations","Number","1033"
"Value Profile of New Cars Registered","2014","20,001 - 25,000","Net registrations","Number","28061"
"Value Profile of New Cars Registered","2014","25,001 - 30,000","Gross registrations","Number","21284"
"Value Profile of New Cars Registered","2014","25,001 - 30,000","Exempt registrations","Number","1223"
"Value Profile of New Cars Registered","2014","25,001 - 30,000","Net registrations","Number","20061"
"Value Profile of New Cars Registered","2014","30,001 - 40,000","Gross registrations","Number","10278"
"Value Profile of New Cars Registered","2014","30,001 - 40,000","Exempt registrations","Number","765"
"Value Profile of New Cars Registered","2014","30,001 - 40,000","Net registrations","Number","9513"
"Value Profile of New Cars Registered","2014","40,001 - 50,000","Gross registrations","Number","4952"
"Value Profile of New Cars Registered","2014","40,001 - 50,000","Exempt registrations","Number","256"
"Value Profile of New Cars Registered","2014","40,001 - 50,000","Net registrations","Number","4696"
"Value Profile of New Cars Registered","2014","50,001 - 60,000","Gross registrations","Number","1545"
"Value Profile of New Cars Registered","2014","50,001 - 60,000","Exempt registrations","Number","42"
"Value Profile of New Cars Registered","2014","50,001 - 60,000","Net registrations","Number","1503"
"Value Profile of New Cars Registered","2014","60,001 - 70,000","Gross registrations","Number","346"
"Value Profile of New Cars Registered","2014","60,001 - 70,000","Exempt registrations","Number","11"
"Value Profile of New Cars Registered","2014","60,001 - 70,000","Net registrations","Number","335"
"Value Profile of New Cars Registered","2014","70,001 - 80,000","Gross registrations","Number","283"
"Value Profile of New Cars Registered","2014","70,001 - 80,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2014","70,001 - 80,000","Net registrations","Number","279"
"Value Profile of New Cars Registered","2014","80,001 - 90,000","Gross registrations","Number","153"
"Value Profile of New Cars Registered","2014","80,001 - 90,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2014","80,001 - 90,000","Net registrations","Number","149"
"Value Profile of New Cars Registered","2014","90,001 - 100,000","Gross registrations","Number","183"
"Value Profile of New Cars Registered","2014","90,001 - 100,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2014","90,001 - 100,000","Net registrations","Number","182"
"Value Profile of New Cars Registered","2014","100,001 - 150,000","Gross registrations","Number","218"
"Value Profile of New Cars Registered","2014","100,001 - 150,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2014","100,001 - 150,000","Net registrations","Number","218"
"Value Profile of New Cars Registered","2014","150,001 - 200,000","Gross registrations","Number","18"
"Value Profile of New Cars Registered","2014","150,001 - 200,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2014","150,001 - 200,000","Net registrations","Number","18"
"Value Profile of New Cars Registered","2014","200,001 - 250,000","Gross registrations","Number","3"
"Value Profile of New Cars Registered","2014","200,001 - 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2014","200,001 - 250,000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2014","Over 250,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2014","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2014","Over 250,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2014","All values","Gross registrations","Number","96630"
"Value Profile of New Cars Registered","2014","All values","Exempt registrations","Number","4017"
"Value Profile of New Cars Registered","2014","All values","Net registrations","Number","92613"
"Value Profile of New Cars Registered","2015","0 - 7000","Gross registrations","Number","2"
"Value Profile of New Cars Registered","2015","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2015","0 - 7000","Net registrations","Number","2"
"Value Profile of New Cars Registered","2015","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2015","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2015","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2015","8,001 - 13,000","Gross registrations","Number","4235"
"Value Profile of New Cars Registered","2015","8,001 - 13,000","Exempt registrations","Number","20"
"Value Profile of New Cars Registered","2015","8,001 - 13,000","Net registrations","Number","4215"
"Value Profile of New Cars Registered","2015","13,001 - 14,000","Gross registrations","Number","1916"
"Value Profile of New Cars Registered","2015","13,001 - 14,000","Exempt registrations","Number","33"
"Value Profile of New Cars Registered","2015","13,001 - 14,000","Net registrations","Number","1883"
"Value Profile of New Cars Registered","2015","14,001 - 15,000","Gross registrations","Number","5625"
"Value Profile of New Cars Registered","2015","14,001 - 15,000","Exempt registrations","Number","56"
"Value Profile of New Cars Registered","2015","14,001 - 15,000","Net registrations","Number","5569"
"Value Profile of New Cars Registered","2015","15,001 - 20,000","Gross registrations","Number","23841"
"Value Profile of New Cars Registered","2015","15,001 - 20,000","Exempt registrations","Number","539"
"Value Profile of New Cars Registered","2015","15,001 - 20,000","Net registrations","Number","23302"
"Value Profile of New Cars Registered","2015","20,001 - 25,000","Gross registrations","Number","35577"
"Value Profile of New Cars Registered","2015","20,001 - 25,000","Exempt registrations","Number","1077"
"Value Profile of New Cars Registered","2015","20,001 - 25,000","Net registrations","Number","34500"
"Value Profile of New Cars Registered","2015","25,001 - 30,000","Gross registrations","Number","29051"
"Value Profile of New Cars Registered","2015","25,001 - 30,000","Exempt registrations","Number","1322"
"Value Profile of New Cars Registered","2015","25,001 - 30,000","Net registrations","Number","27729"
"Value Profile of New Cars Registered","2015","30,001 - 40,000","Gross registrations","Number","14151"
"Value Profile of New Cars Registered","2015","30,001 - 40,000","Exempt registrations","Number","856"
"Value Profile of New Cars Registered","2015","30,001 - 40,000","Net registrations","Number","13295"
"Value Profile of New Cars Registered","2015","40,001 - 50,000","Gross registrations","Number","7045"
"Value Profile of New Cars Registered","2015","40,001 - 50,000","Exempt registrations","Number","355"
"Value Profile of New Cars Registered","2015","40,001 - 50,000","Net registrations","Number","6690"
"Value Profile of New Cars Registered","2015","50,001 - 60,000","Gross registrations","Number","1907"
"Value Profile of New Cars Registered","2015","50,001 - 60,000","Exempt registrations","Number","69"
"Value Profile of New Cars Registered","2015","50,001 - 60,000","Net registrations","Number","1838"
"Value Profile of New Cars Registered","2015","60,001 - 70,000","Gross registrations","Number","609"
"Value Profile of New Cars Registered","2015","60,001 - 70,000","Exempt registrations","Number","29"
"Value Profile of New Cars Registered","2015","60,001 - 70,000","Net registrations","Number","580"
"Value Profile of New Cars Registered","2015","70,001 - 80,000","Gross registrations","Number","397"
"Value Profile of New Cars Registered","2015","70,001 - 80,000","Exempt registrations","Number","4"
"Value Profile of New Cars Registered","2015","70,001 - 80,000","Net registrations","Number","393"
"Value Profile of New Cars Registered","2015","80,001 - 90,000","Gross registrations","Number","233"
"Value Profile of New Cars Registered","2015","80,001 - 90,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2015","80,001 - 90,000","Net registrations","Number","232"
"Value Profile of New Cars Registered","2015","90,001 - 100,000","Gross registrations","Number","267"
"Value Profile of New Cars Registered","2015","90,001 - 100,000","Exempt registrations","Number","2"
"Value Profile of New Cars Registered","2015","90,001 - 100,000","Net registrations","Number","265"
"Value Profile of New Cars Registered","2015","100,001 - 150,000","Gross registrations","Number","320"
"Value Profile of New Cars Registered","2015","100,001 - 150,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2015","100,001 - 150,000","Net registrations","Number","319"
"Value Profile of New Cars Registered","2015","150,001 - 200,000","Gross registrations","Number","20"
"Value Profile of New Cars Registered","2015","150,001 - 200,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2015","150,001 - 200,000","Net registrations","Number","19"
"Value Profile of New Cars Registered","2015","200,001 - 250,000","Gross registrations","Number","9"
"Value Profile of New Cars Registered","2015","200,001 - 250,000","Exempt registrations","Number","1"
"Value Profile of New Cars Registered","2015","200,001 - 250,000","Net registrations","Number","8"
"Value Profile of New Cars Registered","2015","Over 250,000","Gross registrations","Number","6"
"Value Profile of New Cars Registered","2015","Over 250,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2015","Over 250,000","Net registrations","Number","6"
"Value Profile of New Cars Registered","2015","All values","Gross registrations","Number","125211"
"Value Profile of New Cars Registered","2015","All values","Exempt registrations","Number","4366"
"Value Profile of New Cars Registered","2015","All values","Net registrations","Number","120845"
"Value Profile of New Cars Registered","2016","0 - 7000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2016","0 - 7000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2016","0 - 7000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2016","7,001 - 8,000","Gross registrations","Number","0"
"Value Profile of New Cars Registered","2016","7,001 - 8,000","Exempt registrations","Number","0"
"Value Profile of New Cars Registered","2016","7,001 - 8,000","Net registrations","Number","0"
"Value Profile of New Cars Registered","2016","8,001 - 13,000","Gross registrations","Number","3992"
"Value Profile of New Cars Registered","2016","8,001 - 13,000","Exempt registrations","Number","21"
"Value Profile of New Cars Registered","2016","8,001 - 13,000","Net registrations","Number","3971"
"Value Profile of New Cars Registered","2016","13,001 - 14,000","Gross registrations","Number","1435"
"Value Profile of New Cars Registered","2016","13,001 - 14,000","Exempt registrations","Number","10"
"Value Profile of New Cars Registered","2016","13,001 - 14,000","Net registrations","Number","1425"
"Value Profile of New Cars Registered","2016","14,001 - 15,000","Gross registrations","Number","5025"
"Value Profile of New Cars Registered","2016","14,001 - 15,000","Exempt registrations","Number","72"
"Value Profile of New Cars Registered","2016","14,001 - 15,000","Net registrations","Number","4953"
"Value Profile of New Cars Registered","2016","15,001 - 20,000","Gross registrations","Number","25813"
"Value Profile of New Cars Registered","2016","15,001 - 20,000","Exempt registrations","Number","540"
"Value Profile of New Cars Registered","2016","15,001 - 20,000","Net registrations","Number","25273"
"Value Profile of New Cars Registered","2016","20,001 - 25,000","Gross registrations","Number","36749"
"Value Profile of New Cars Registered","2016","20,001 - 25,000","Exempt registrations","Number","1072"
"Value Profile of New Cars Registered","2016","20,001 - 25,000","Net registrations","Number","35677"
"Value Profile of New Cars Registered","2016","25,001 - 30,000","Gross registrations","Number","37251"
